round,team_id,orders,sessions,conversion_rate,aov_net,revenue_net,gross_margin_pct,contribution_margin_pct,cac_blended,repeat_order_share,active_customers,ltv_cac_ratio,rating,nps,service_level,instock_rate,delivery_success,rto_rate,return_rate,cash_balance,runway_rounds,market_share,binding_constraint
10,team_06,2643.5693148528662,138633.33686817702,0.019068785146292556,2959.024067999999,6207803.8337146435,0.3797577854939882,0.14061955034623466,406.16474993234453,0.396027661184699,19759.358680690508,2.7607129773402654,4.096415769599015,82.81466232315863,1.0,1.0,0.9559,0.1476,0.08488083150794008,5459963.420860012,14.285845026302466,0.13150489316222166,under_marketing
11,team_01,3730.6599931931787,194158.93666585788,0.01921446448593577,3166.1557527599994,9353507.73741053,0.42002246935899945,0.10889344105019094,824.5277789885937,0.4416346922822917,28196.84675263545,1.7407995800858977,4.134526748972133,84.4153234568296,1.0,1.0,0.9559,0.1476,0.08318923358102699,553006.6844635624,99.0,0.20311001134900064,under_marketing
11,team_02,2024.1784179269562,57262.469213445875,0.035349129119490647,2012.136366239999,3110430.9500904256,0.07902875563732172,-0.1378217348048172,33.2409843416016,0.16489478273210653,10523.213740883491,1.6423518196677354,3.7604750834405074,52.9895574880659,1.0,1.0,0.9559,0.1476,0.09107702556122449,-32452457.07073465,-20.248193130530453,0.06754253947386465,under_marketing
11,team_03,3267.0185728109545,156948.7737524964,0.020815827321868388,2959.024067999999,7752666.751771755,0.38136006744477224,0.015351931312646965,909.0480695300018,0.39138892129491,24378.16186302337,1.2544558758858455,4.505731882747254,100.00593907538466,1.0,1.0,0.9559,0.1476,0.07171573111856415,0.0,0.0,0.16834799052331922,under_marketing
11,team_04,3374.0388184025323,171742.58216072203,0.019645907124215718,2959.024067999999,7491708.141089051,0.3709085646694144,0.005988171906267429,1024.3147189604827,0.5225685937938623,26634.88712224271,0.958005564220306,4.158574557167372,85.42533140102961,1.0,1.0,0.9559,0.1476,0.13039595283053712,0.0,0.0,0.1626813136075147,under_marketing
11,team_05,5214.554968557565,289932.9874598837,0.017985380050205817,2959.024067999999,12190619.978201594,0.3790702770764454,0.028044939356402537,801.8227704666089,0.37146462478666536,37623.45722163739,1.3713058315142141,3.9430938746370563,62.015310391753005,1.0,1.0,0.9559,0.1476,0.08488083150794008,0.0,0.0,0.26471747622773206,under_marketing
11,team_06,2631.582534785024,136673.75084251256,0.01925448389733127,2959.024067999999,6152502.681763325,0.37907961445222055,0.13823614791714434,417.9015457380932,0.4103164571278896,20329.75124185153,2.6585262771105658,4.097140441250456,82.84509853251916,1.0,1.0,0.9559,0.1476,0.08488083150794008,4959354.710193192,9.906648854725752,0.13360066881856889,under_marketing
12,team_01,3728.2060019701203,192067.77589116953,0.019410887561287827,3166.1557527599994,9347480.839537056,0.4200244054888468,0.10877916957642657,850.1604539739692,0.45811318005199975,29135.13262752969,1.688173286369906,4.135260267638687,84.44613124082484,1.0,1.0,0.9559,0.1476,0.08318923358102699,0.0,0.0,0.20604258110721244,under_marketing
12,team_02,1642.3944695202151,45381.86666115345,0.036190544601949856,2012.136366239999,2531353.2884736154,0.07973252146721785,-0.12935650214782238,20.883187550051222,0.18085722652025724,8809.242681833955,2.6935146008769877,3.779864136711901,60.12696948868802,1.0,1.0,0.9559,0.1476,0.09146673567956393,-32249957.314437557,99.0,0.05579755382276504,under_marketing
12,team_03,3263.5472147451555,155013.2859624953,0.02105333871533279,2959.024067999999,7744334.137545086,0.3813582011541661,0.015097100390889014,930.6872206145755,0.40490725559358276,25127.675324044805,1.2247730910832582,4.508711801599899,100.13109566719578,1.0,1.0,0.9559,0.1476,0.07171573111856415,950624.1060270183,99.0,0.17070509392298625,under_marketing
12,team_04,3372.303818560978,169857.50449500038,0.01985372285191108,2959.024067999999,7488034.747823036,0.3709124494476539,0.00588839891892766,1066.4122317877898,0.5411796621839057,27485.005195102753,0.9204575983052282,4.159453604534608,85.46225139045356,1.0,1.0,0.9559,0.1476,0.13039595283053712,0.0,0.0,0.16505559448018772,under_marketing
12,team_05,5187.96177940241,286696.8909594746,0.018095633203555537,2959.024067999999,12128530.334714226,0.3790712962571254,0.026943512982835167,827.7971051194236,0.38806585100340213,38925.03004803379,1.32789244419934,3.9292050979468716,60.639309906215246,1.0,1.0,0.9559,0.1476,0.08488083150794008,0.0,0.0,0.2673440831920879,under_marketing
12,team_06,2620.589479616666,134936.09717317743,0.01942096692075948,2959.024067999999,6127009.726597826,0.3790848599824449,0.13780875952578137,429.06799086348383,0.4232536290339361,20842.372934117255,2.5885936127951283,4.097647711406465,82.86640387907151,1.0,1.0,0.9559,0.1476,0.08488083150794008,3678935.810544094,2.8732282939218696,0.13505509347476075,under_marketing
